uid,conjunto
1.3.6.1.4.1.14519.5.2.1.6279.6001.503980049263254396021509831276,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.231834776365874788440767645596,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.861997885565255340442123234170,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.183843376225716802567192412456,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.247769845138587733933485039556,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.306948744223170422945185006551,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.171919524048654494439256263785,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.935683764293840351008008793409,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.183184435049555024219115904825,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.146603910507557786636779705509,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.300271604576987336866436407488,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.334105754605642100456249422350,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.801945620899034889998809817499,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.458525794434429386945463560826,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.269689294231892620436462818860,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.161073793312426102774780216551,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.336894364358709782463716339027,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.310395752124284049604069960014,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.162207236104936931957809623059,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.200558451375970945040979397866,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.169128136262002764211589185953,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.197987940182806628828566429132,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.561458563853929400124470098603,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.756684168227383088294595834066,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.888291896309937415860209787179,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.826812708000318290301835871780,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.140527383975300992150799777603,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.335866409407244673864352309754,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.113697708991260454310623082679,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.145759169833745025756371695397,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.208737629504245244513001631764,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.168037818448885856452592057286,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.325164338773720548739146851679,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.193408384740507320589857096592,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.250397690690072950000431855143,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.179049373636438705059720603192,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.139595277234735528205899724196,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.892375496445736188832556446335,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375,train
