uid,n_anotacoes,candidatos_antes,tp_antes,fp_antes,sens_antes,candidatos_depois,tp_depois,fp_depois,sens_depois,tempo_segundos
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,5,7288,5,7283,1.0,3919,3,3916,0.6,54.44981026649475
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,4,4762,2,4760,0.5,1645,2,1643,0.5,89.8695650100708
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,4,4570,3,4567,0.75,1202,3,1199,0.75,116.82223725318909
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,3,4055,2,4053,0.6666666666666666,964,2,962,0.6666666666666666,101.16638994216919
1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,2,3310,2,3308,1.0,1142,2,1140,1.0,107.50855231285095
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,2,7274,1,7273,0.5,6116,1,6115,0.5,107.51937651634216
1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418,2,7132,1,7131,0.5,3909,1,3908,0.5,93.27714252471924
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,2,6354,2,6352,1.0,2272,2,2270,1.0,111.6755838394165
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,1,2857,1,2856,1.0,1828,1,1827,1.0,79.78557205200195
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,1,5168,0,5168,0.0,3333,0,3333,0.0,73.5503511428833
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,1,7995,1,7994,1.0,5169,1,5168,1.0,71.16559910774231
1.3.6.1.4.1.14519.5.2.1.6279.6001.145759169833745025756371695397,1,3368,1,3367,1.0,498,0,498,0.0,89.64247369766235
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,1,5115,1,5114,1.0,2583,0,2583,0.0,87.69309592247009
1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579,1,10503,0,10503,0.0,4354,0,4354,0.0,80.36222672462463
1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,1,3420,1,3419,1.0,847,1,846,1.0,87.7438702583313
