uid,n_anotacoes,candidatos_antes,tp_antes,sens_antes,candidatos_depois,tp_depois,sens_depois,tempo_segundos
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,5,7288,5,1.0,1533,3,0.6,22.32167148590088
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,4,4762,2,0.5,1957,2,0.5,16.310662746429443
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,4,4570,3,0.75,1005,3,0.75,18.341347217559814
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,3,4055,2,0.6666666666666666,396,2,0.6666666666666666,21.946995735168457
1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,2,3310,2,1.0,808,2,1.0,11.978151321411133
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,2,7274,1,0.5,2812,1,0.5,22.660545825958252
1.3.6.1.4.1.14519.5.2.1.6279.6001.226456162308124493341905600418,2,7132,1,0.5,1171,1,0.5,21.655930757522583
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,2,6354,2,1.0,1262,1,0.5,28.26170039176941
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,1,2857,1,1.0,1085,1,1.0,10.905638456344604
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,1,5168,0,0.0,1638,0,0.0,20.840606212615967
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,1,7995,1,1.0,2147,1,1.0,35.315216302871704
1.3.6.1.4.1.14519.5.2.1.6279.6001.145759169833745025756371695397,1,3368,1,1.0,352,0,0.0,11.635526180267334
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,1,5115,1,1.0,778,0,0.0,21.295061826705933
1.3.6.1.4.1.14519.5.2.1.6279.6001.163994693532965040247348251579,1,10503,0,0.0,1456,0,0.0,27.264944791793823
1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,1,3420,1,1.0,760,1,1.0,11.326062440872192
