uid,n_slices,rows,cols,spacing_x,spacing_y,spacing_z,has_mask
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,121,512,512,0.7617189884185791,0.7617189884185791,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492,119,512,512,0.7421879768371582,0.7421879768371582,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,161,512,512,0.5488280057907104,0.5488280057907104,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,538,512,512,0.7421879768371582,0.7421879768371582,0.625,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,124,512,512,0.6152340173721313,0.6152340173721313,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,195,512,512,0.72265625,0.72265625,1.7999999523162842,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,133,512,512,0.5566409826278687,0.5566409826278687,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354,672,512,512,0.607421875,0.607421875,0.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,133,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950,483,512,512,0.6171875,0.6171875,0.699999988079071,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,274,512,512,0.6152340173721313,0.6152340173721313,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,197,512,512,0.859375,0.859375,1.25,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.137763212752154081977261297097,246,512,512,0.7421875,0.7421875,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,295,512,512,0.681640625,0.681640625,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,588,512,512,0.513671875,0.513671875,0.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,140,512,512,0.7226560115814209,0.7226560115814209,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,280,512,512,0.572265625,0.572265625,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.144438612068946916340281098509,157,512,512,0.6640620231628418,0.6640620231628418,2.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,730,512,512,0.73046875,0.73046875,0.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,275,512,512,0.78125,0.78125,1.0,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,125,512,512,0.703125,0.703125,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,147,512,512,0.7421879768371582,0.7421879768371582,2.5,True
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,245,512,512,0.78125,0.78125,1.0,True
